"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 23, 2019","18.846","18.180","18.910","18.160","1.74K","4.43%"
"Sep 22, 2019","18.047","18.052","18.058","18.012","-","0.37%"
"Sep 20, 2019","17.981","18.040","18.165","17.955","0.74K","-0.20%"
"Sep 19, 2019","18.017","17.960","18.105","17.850","0.72K","-0.19%"
"Sep 18, 2019","18.052","18.145","18.190","17.740","0.64K","-1.21%"
"Sep 17, 2019","18.274","18.075","18.300","17.965","1.77K","0.63%"
"Sep 16, 2019","18.160","17.830","18.180","17.820","1.23K","1.89%"
"Sep 15, 2019","17.823","17.517","17.843","17.517","-","0.68%"
"Sep 13, 2019","17.703","18.235","18.395","17.615","4.79K","-3.32%"
"Sep 12, 2019","18.311","18.315","18.675","18.225","3.04K","0.04%"
"Sep 11, 2019","18.303","18.245","18.460","18.120","2.33K","-0.08%"
"Sep 10, 2019","18.318","18.160","18.385","17.995","3.66K","0.10%"
"Sep 09, 2019","18.299","18.315","18.515","18.160","3.69K","0.18%"
"Sep 08, 2019","18.267","18.262","18.282","18.157","-","0.08%"
"Sep 06, 2019","18.253","18.880","19.020","18.190","3.06K","-3.64%"
"Sep 05, 2019","18.942","19.730","19.790","18.730","2.64K","-3.76%"
"Sep 04, 2019","19.682","19.460","19.870","19.425","2.41K","1.63%"
"Sep 03, 2019","19.367","18.760","19.510","18.500","4.19K","4.73%"
"Sep 02, 2019","18.492","18.562","18.652","18.367","-","-0.40%"
"Sep 01, 2019","18.567","18.475","18.683","18.475","-","0.54%"
"Aug 30, 2019","18.467","18.465","18.695","18.295","2.37K","0.10%"
"Aug 29, 2019","18.448","18.560","18.870","18.290","3.11K","-0.69%"
"Aug 28, 2019","18.577","18.410","18.730","18.300","2.71K","0.87%"
"Aug 27, 2019","18.416","17.945","18.440","17.925","2.58K","2.87%"
"Aug 26, 2019","17.902","17.740","18.000","17.740","1.07K","0.51%"
"Aug 25, 2019","17.812","17.552","17.863","17.552","-","0.82%"
"Aug 23, 2019","17.668","17.275","17.710","17.220","1.52K","2.18%"
"Aug 22, 2019","17.291","17.300","17.350","17.200","1.87K","-0.65%"
"Aug 21, 2019","17.405","17.360","17.410","17.240","0.59K","0.02%"
"Aug 20, 2019","17.401","17.095","17.420","17.095","1.76K","1.22%"
"Aug 19, 2019","17.191","17.360","17.360","17.085","0.99K","0.73%"
"Aug 18, 2019","17.067","17.108","17.122","17.060","-","-1.79%"
"Aug 16, 2019","17.378","17.540","17.565","17.300","0.42K","-0.52%"
"Aug 15, 2019","17.469","17.475","17.615","17.345","1.09K","-0.40%"
"Aug 14, 2019","17.540","17.200","17.550","17.125","1.12K","1.70%"
"Aug 13, 2019","17.246","17.395","17.730","16.800","2.18K","-0.44%"
"Aug 12, 2019","17.323","17.210","17.390","17.060","0.93K","1.92%"
"Aug 11, 2019","16.997","16.968","17.003","16.942","-","-1.09%"
"Aug 09, 2019","17.185","17.265","17.385","17.120","1.64K","-0.01%"
"Aug 08, 2019","17.186","17.365","17.455","17.065","2.06K","-1.50%"
"Aug 07, 2019","17.447","16.885","17.500","16.865","2.55K","4.52%"
"Aug 06, 2019","16.692","16.725","16.740","16.630","1.13K","0.31%"
"Aug 05, 2019","16.640","16.455","16.795","16.435","0.81K","2.70%"
"Aug 04, 2019","16.203","16.218","16.245","16.203","-","-1.92%"
"Aug 02, 2019","16.520","16.580","16.580","16.330","0.46K","0.54%"
"Aug 01, 2019","16.432","16.550","16.650","16.190","0.91K","-1.34%"
"Jul 31, 2019","16.655","16.790","16.790","16.530","0.76K","-0.92%"
"Jul 30, 2019","16.810","16.715","16.880","16.715","0.75K","0.71%"
"Jul 29, 2019","16.692","16.660","16.725","16.650","0.34K","1.77%"
"Jul 28, 2019","16.402","16.427","16.453","16.402","-","-1.47%"
"Jul 26, 2019","16.646","16.710","16.780","16.640","0.65K","-0.05%"
"Jul 25, 2019","16.655","16.870","16.915","16.605","0.96K","-1.26%"
"Jul 24, 2019","16.867","16.625","16.910","16.625","0.80K","0.92%"
"Jul 23, 2019","16.714","16.615","16.805","16.450","1.20K","0.40%"
"Jul 22, 2019","16.647","16.490","16.665","16.490","0.63K","2.55%"
"Jul 21, 2019","16.233","16.230","16.290","16.212","-","-1.20%"
"Jul 19, 2019","16.430","16.615","16.845","16.350","1.53K","0.00%"
"Jul 18, 2019","16.430","16.290","16.615","16.250","0.95K","1.41%"
"Jul 17, 2019","16.201","15.875","16.250","15.825","0.76K","1.83%"
"Jul 16, 2019","15.910","15.675","15.945","15.575","0.93K","2.01%"
"Jul 15, 2019","15.596","15.505","15.640","15.505","1.28K","2.26%"
"Jul 14, 2019","15.252","15.248","15.277","15.227","-","-1.43%"
"Jul 12, 2019","15.473","15.415","15.500","15.310","1.31K","0.59%"
"Jul 11, 2019","15.382","15.540","15.540","15.370","1.98K","-0.52%"
"Jul 10, 2019","15.462","15.360","15.540","15.330","1.73K","0.52%"
"Jul 09, 2019","15.382","15.285","15.390","15.210","1.55K","0.65%"
"Jul 08, 2019","15.282","15.270","15.365","15.270","1.84K","1.89%"
"Jul 07, 2019","14.998","15.018","15.055","14.982","-","-1.53%"
"Jul 05, 2019","15.231","15.480","15.520","15.150","2.37K","-0.78%"
"Jul 04, 2019","15.350","15.342","15.370","15.252","-","-1.34%"
"Jul 03, 2019","15.558","15.580","15.710","15.470","0.93K","0.64%"
"Jul 02, 2019","15.459","15.415","15.500","15.295","1.73K","0.32%"
"Jul 01, 2019","15.410","15.445","15.545","15.370","0.77K","1.17%"
"Jun 30, 2019","15.232","15.350","15.350","15.160","-","-2.05%"
"Jun 28, 2019","15.551","15.485","15.560","15.485","0.60K","0.32%"
"Jun 27, 2019","15.502","15.525","15.525","15.425","0.40K","-0.51%"
"Jun 26, 2019","15.582","15.540","15.605","15.510","1.63K","-0.08%"
"Jun 25, 2019","15.595","15.735","15.765","15.560","8.77K","-0.42%"
"Jun 24, 2019","15.660","15.675","15.720","15.600","3.32K","1.68%"
"Jun 23, 2019","15.402","15.330","15.422","15.330","-","-1.10%"
"Jun 21, 2019","15.573","15.820","15.820","15.495","0.63K","-1.22%"
"Jun 20, 2019","15.766","15.455","15.775","15.455","1.20K","3.46%"
"Jun 19, 2019","15.239","15.225","15.255","15.220","0.24K","-0.23%"
"Jun 18, 2019","15.274","15.165","15.310","15.155","0.41K","1.07%"
"Jun 17, 2019","15.113","15.135","15.135","15.100","0.14K","2.07%"
"Jun 16, 2019","14.807","14.842","14.863","14.803","-","-1.87%"
"Jun 14, 2019","15.089","15.290","15.395","15.095","0.30K","-0.55%"
"Jun 13, 2019","15.173","15.100","15.175","15.065","1.24K","0.88%"
"Jun 12, 2019","15.041","14.995","15.100","14.995","0.79K","0.05%"
"Jun 11, 2019","15.033","14.955","15.070","14.955","1.01K","0.68%"
"Jun 10, 2019","14.931","15.010","15.055","14.925","1.05K","-0.28%"
"Jun 09, 2019","14.973","15.008","15.008","14.953","-","-2.28%"
